game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746581,15,677587,ball,Brayan Rocchio walks.   Will Brennan to 2nd.,,walk
746581,14,666310,called_strike,Bo Naylor strikes out swinging.,,strikeout
746581,13,686823,ball,Will Brennan singles on a line drive to left fielder Spencer Steer.,,single
746581,9,665926,ball,"Andrés Giménez grounds out, second baseman Jonathan India to first baseman Ty France.",,field_out
746581,8,657041,ball,Lane Thomas homers (15) on a fly ball to left field.   Josh Naylor scores.,,home_run
746581,7,647304,called_strike,"Josh Naylor singles on a line drive to right fielder Jake Fraley, deflected by second baseman Jonathan India.",,single
746581,6,608070,ball,José Ramírez flies out to left fielder Spencer Steer.,,field_out
746581,5,700932,ball,Kyle Manzardo homers (5) on a fly ball to right field.,,home_run
746581,4,682657,ball,Angel Martínez flies out to center fielder TJ Friedl.,,field_out
745118,63,608070,called_strike,José Ramírez flies out to center fielder Michael Siani.,,field_out
745118,62,682177,called_strike,"Daniel Schneemann grounds out, first baseman Paul Goldschmidt to pitcher Ryan Helsley.",,field_out
745118,61,682657,hit_into_play,Angel Martínez flies out to right fielder Lars Nootbaar.,field_out,field_out
745118,56,657041,foul,"Lane Thomas grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745118,55,677587,called_strike,Brayan Rocchio doubles (17) on a sharp line drive to right fielder Lars Nootbaar.,,double
745118,54,700932,hit_into_play,Kyle Manzardo flies out to right fielder Lars Nootbaar.,field_out,field_out
745118,53,686823,foul_tip,Will Brennan flies out to center fielder Michael Siani.,,field_out
745118,46,678877,hit_into_play,Jhonkensy Noel lines out sharply to center fielder Lars Nootbaar.,field_out,field_out
745118,45,647304,ball,"Josh Naylor grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745118,44,608070,ball,José Ramírez strikes out swinging.,,strikeout
745118,38,682177,called_strike,Daniel Schneemann flies out to center fielder Lars Nootbaar.,,field_out
745118,37,682657,foul,Angel Martínez grounds out to first baseman Paul Goldschmidt.   Brayan Rocchio to 3rd.,,field_out
745118,36,595978,ball,"Austin Hedges out on a sacrifice bunt, first baseman Paul Goldschmidt to second baseman Brendan Donovan.   Myles Straw scores.    Brayan Rocchio to 2nd.",,sac_bunt
745118,35,677587,ball,Brayan Rocchio walks.,,walk
745118,30,686823,ball,Will Brennan grounds out to first baseman Paul Goldschmidt.,,field_out
745118,29,678877,hit_into_play,Jhonkensy Noel flies out to center fielder Lars Nootbaar.,field_out,field_out
745118,28,647304,foul,"Josh Naylor grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",,field_out
745118,23,608070,ball,José Ramírez strikes out swinging.,,strikeout
745118,22,682177,foul,"Daniel Schneemann grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745118,21,682657,ball,Angel Martínez flies out to center fielder Lars Nootbaar.,,field_out
745118,15,595978,ball,Austin Hedges called out on strikes.,,strikeout
745118,14,677587,called_strike,"Brayan Rocchio grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745118,9,686823,called_strike,"Will Brennan strikes out swinging, catcher Pedro Pagés to first baseman Paul Goldschmidt.",,strikeout
