game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746587,23,Andres Gimenez,foul,"Andrés Giménez grounds out, pitcher Zebby Matthews to first baseman Carlos Santana.   Angel Martínez to 2nd.",,field_out
746587,14,Bo Naylor,swinging_strike,Bo Naylor strikes out swinging.,,strikeout
746587,13,Will Brennan,hit_into_play,Will Brennan singles on a fly ball to center fielder Byron Buxton.   Kyle Manzardo to 3rd.,single,single
746587,6,Jose Ramirez,foul,"José Ramírez grounds out, second baseman Edouard Julien to first baseman Carlos Santana.",,field_out
746587,4,Angel Martinez,foul,Angel Martínez flies out sharply to right fielder Matt Wallner.,,field_out
746588,70,Kyle Manzardo,hit_into_play,Kyle Manzardo homers (3) on a fly ball to right field.    Josh Naylor scores.,home_run,home_run
746588,64,Jose Ramirez,hit_into_play,José Ramírez grounds out to first baseman Carlos Santana.,field_out,field_out
746588,63,Andres Gimenez,swinging_strike,Andrés Giménez strikes out swinging.,,strikeout
746588,62,Angel Martinez,foul,Angel Martínez singles on a line drive to left fielder Willi Castro.   Kyle Manzardo scores.    Will Brennan to 3rd.    Bo Naylor to 2nd.,,single
746588,61,Daniel Schneemann,swinging_strike,Daniel Schneemann strikes out swinging.,,strikeout
746588,44,Angel Martinez,foul,Angel Martínez doubles (7) on a line drive to right fielder Manuel Margot.   Brayan Rocchio to 3rd.,,double
746588,41,Will Brennan,hit_into_play,Will Brennan lines out to first baseman Carlos Santana.,field_out,field_out
746588,18,Bryan Rocchio,swinging_strike,Brayan Rocchio strikes out on a foul tip.,,strikeout
746588,17,Bo Naylor,foul,Bo Naylor flies out sharply to center fielder Byron Buxton.,,field_out
746588,16,Will Brennan,hit_into_play,Will Brennan singles on a line drive to left fielder Willi Castro.,single,single
746588,15,Kyle Manzardo,foul,"Kyle Manzardo grounds out, second baseman Kyle Farmer to first baseman Carlos Santana.",,field_out
746588,10,Lane Thomas,hit_into_play,"Lane Thomas grounds out, second baseman Kyle Farmer to first baseman Carlos Santana.",field_out,field_out
746588,8,Jose Ramirez,hit_into_play,José Ramírez singles on a line drive to center fielder Byron Buxton.   Angel Martínez to 2nd.,single,single
746588,7,Andres Gimenez,swinging_strike,Andrés Giménez lines out to right fielder Manuel Margot.,,field_out
746585,62,Jhonkensy Noel,foul,Jhonkensy Noel called out on strikes.,,strikeout
746585,60,Josh Naylor,foul,Josh Naylor singles on a line drive to center fielder Jonny DeLuca.,,single
746585,37,Angel Martinez,foul,Angel Martínez singles on a ground ball to first baseman Jonathan Aranda.,,single
746585,25,Josh Naylor,foul,"Josh Naylor grounds out sharply, second baseman Brandon Lowe to first baseman Jonathan Aranda.",,field_out
746585,24,Jose Ramirez,foul_tip,José Ramírez strikes out swinging.,,strikeout
746585,20,Andres Gimenez,hit_into_play,Andrés Giménez flies out to center fielder Jonny DeLuca.,field_out,field_out
746585,19,Angel Martinez,foul,Angel Martínez pops out to third baseman Junior Caminero.,,field_out
746585,16,Daniel Schneemann,swinging_strike,Daniel Schneemann doubles (10) on a sharp line drive to right fielder Josh Lowe.,,double
746585,11,Will Brennan,foul,Will Brennan strikes out swinging.,,strikeout
746585,8,Jose Ramirez,foul,José Ramírez doubles (34) on a fly ball to shortstop José Caballero.   Angel Martínez to 3rd.,,double
746584,52,Bryan Rocchio,foul_bunt,Brayan Rocchio pops out to second baseman José Caballero.,,field_out
746584,46,Andres Gimenez,hit_into_play,"Andrés Giménez grounds into a double play, third baseman Junior Caminero to shortstop Taylor Walls to first baseman Brandon Lowe.   Josh Naylor out at 2nd.    Andrés Giménez out at 1st.",grounded_into_double_play,grounded_into_double_play
746584,44,Josh Naylor,hit_into_play,Josh Naylor singles on a ground ball to center fielder Jose Siri.   Angel Martínez scores.    Lane Thomas scores.    José Ramírez to 3rd.,single,single
746584,33,Andres Gimenez,hit_into_play,"Andrés Giménez singles on a bunt ground ball to pitcher Tyler Alexander.   Andrés Giménez to 2nd.  Andrés Giménez advances to 2nd, on a throwing error by pitcher Tyler Alexander.",single,single
746584,25,Lane Thomas,hit_into_play,Lane Thomas pops out to second baseman José Caballero.,field_out,field_out
746584,19,Austin Hedges,foul,"Austin Hedges grounds out, shortstop Taylor Walls to first baseman Brandon Lowe.",,field_out
746584,14,Jhonkensy Noel,swinging_strike,"Jhonkensy Noel grounds into a force out, third baseman Junior Caminero to second baseman José Caballero.   David Fry out at 2nd.",,force_out
746584,12,David Fry,swinging_strike,David Fry singles on a line drive to right fielder Jonny DeLuca.,,single
746584,5,Lane Thomas,hit_into_play,"Lane Thomas grounds out, pitcher Drew Rasmussen to second baseman José Caballero to first baseman Brandon Lowe.",field_out,field_out
746586,65,Josh Naylor,hit_into_play,"Josh Naylor grounds out, second baseman José Caballero to first baseman Jonathan Aranda.",field_out,field_out
746586,59,Will Brennan,swinging_strike,Will Brennan strikes out on a foul tip.,,strikeout
746586,57,David Fry,foul,"Umpire reviewed (home run), call on the field was upheld: David Fry doubles (17) on a sharp line drive to left fielder Dylan Carlson.   Jhonkensy Noel scores.",,double
746586,56,Jhonkensy Noel,foul,"Jhonkensy Noel doubles (7) on a line drive to left fielder Dylan Carlson, deflected by center fielder Jose Siri.",,double
746586,44,Daniel Schneemann,foul,"Daniel Schneemann grounds out, second baseman José Caballero to first baseman Jonathan Aranda.",,field_out
746586,43,Bryan Rocchio,swinging_strike,"Brayan Rocchio grounds out, third baseman Junior Caminero to first baseman Jonathan Aranda.",,field_out
746586,38,Jhonkensy Noel,hit_into_play,"Jhonkensy Noel grounds out, third baseman Junior Caminero to first baseman Jonathan Aranda.",field_out,field_out
746586,31,Josh Naylor,swinging_strike,"Josh Naylor grounds into a double play, first baseman Jonathan Aranda to shortstop Taylor Walls to first baseman Jonathan Aranda.   José Ramírez out at 2nd.    Josh Naylor out at 1st.",,grounded_into_double_play
746586,30,Jose Ramirez,hit_into_play,José Ramírez reaches on a fielding error by second baseman José Caballero.,field_error,field_error
746586,23,Daniel Schneemann,swinging_strike,Daniel Schneemann strikes out swinging.,,strikeout
